Job Title,Company Name,Posted Date,Tech Stack
API Software Engineer – Mid/Senior,EvolveTalent,7 окт.,"Git, JavaScript, MariaDB, MySQL, Node.js, SQL"
React.js/Node.js Engineer,Merkle Bulgaria,6 окт.,"AWS, Node.js, Webpack, Vanilla JS, Subversion, Sass, RequireJS"
Front-End (React) Developer,foryouandyourcustomers,5 окт.,"CSS3, English, Git, HTML5, JavaScript, Npm, React"
React Developer,Nexo,4 окт.,"ECMAScript, Git, React, Redux, TypeScript"
Senior Front-End Engineer,Kuady,4 окт.,"Babel, English, Jest, Mocha, React, Redux, Sass"
Senior Angular/Node.js Developer,Infopulse Bulgaria,4 окт.,"Angular, CSS3, English, Firebug, HTML5, Node.js, NoSQL"
Technical Lead (Front-end Team),Digital Ventures (Sportal365),3 окт.,"JavaScript, React, TypeScript"
Frontend Developer,Grove Global Consult,3 окт.,"Babel, CSS3, Git, HTML5, JavaScript, Npm, Vue.js"
Senior Full Stack Developer,Delasport,3 окт.,"GraphQL, JavaScript, MongoDB, MySQL, NoSQL, Object-oriented programming, PHP"
Senior Frontend Developer with Vue.js,Delasport,3 окт.,"JavaScript, Socket.io, Vue.js"
Frontend Engineer,TIS (Treasury Intelligence Solutions),3 окт.,"AWS, Cypress, English, GraphQL, JavaScript, React, Redux"
Senior Frontend Engineer,Digital Ventures (Sportal365),2 окт.,"Babel, ECMAScript, Flux, GitHub, GitLab, JavaScript, Npm"
React Developer (Food Delivery sphere),Coherent Solutions,2 окт.,"English, Git, JavaScript, Node.js, React, Redux, TypeScript"
Senior Fullstack developer (Typescript),Sourcelab,2 окт.,"English, Nest.js, Node.js, Playwright, React, Scala, TypeScript"
Front-End Developer,LimeChain,30 сеп.,"Blockchain, LESS, React, Sass, TypeScript"
Senior Fullstack Еngineer,Yotpo,30 сеп.,"Angular, Docker, Java, Spring, Spring Boot"
Junior Front End Developer,Playtech,30 сеп.,"CSS3, English, Git, React, Sass, TypeScript"
Team Leader – Software Engineering,Updata One,29 сеп.,"Bootstrap, Django, GitLab, JavaScript, Jira, Python, React"
SENIOR GAME DEVELOPER,Телематик Интерактив България АД,27 сеп.,"Git, GitLab, JavaScript, LESS, Node.js, PixiJS, Sass"
Senior PHP Full Stack Developer – eCommerce,tbi bank,27 сеп.,"Bitbucket, English, Git, GitHub, GitLab, JavaScript, jQuery"
Front-end (React) Developer with Salesforce,A1 Bulgaria,26 сеп.,"Apex, React, Salesforce, SOAP, Visualforce"
Front-End Developer – React,ThinkMarkets,26 сеп.,"CSS3, HTML5, JavaScript, Linux, Node.js, React, Redux"
Front-end Tech Lead,ThinkMarkets,26 сеп.,"CSS3, English, HTML5, JavaScript, Linux, Node.js, React"
Full Stack Developer,HedgeServ,25 сеп.,"Angular, English, Python, React, SQL, Vue.js"
RPA Developer,A1 Bulgaria,25 сеп.,"BluePrism, English, Java, JavaScript, Python, Robotic Process Automation, SQL"
JavaScript Game Developer,7777 gaming,25 сеп.,"Adobe Photoshop, Ajax, CSS3, HTML5, JavaScript, Subversion"
Mid Java / Java + React Developer,Smart IT,24 сеп.,"English, Git, Java, React, TypeScript"
REACT DEVELOPER,Human Power,24 сеп.,"Babel, CSS3, ECMAScript, HTML5, Immutable.js, Npm, React"
Mid/ Senior Full Stack Software Developer,Protiviti,24 сеп.,"Angular, Next.js, SQL, Ruby, React, Python, PHP"
Senior Full Stack Engineer,Progress,24 сеп.,".NET, Angular, C#, English, JavaScript, React, TypeScript"
ServiceNow Developer,A1 Bulgaria,23 сеп.,"English, ITIL, Java, JavaScript, Linux, MySQL, ServiceNow"
